|Unnamed: 0|Unnamed: 0.1|Unnamed: 0.1.1|Unnamed: 0.1.1.1|Unnamed: 0.1.1.1.1|Unnamed: 0.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1.1.1|index|Loan_ID|Gender|Married|Dependents|Education|Self_Employed|ApplicantIncome|CoapplicantIncome|LoanAmount|Loan_Amount_Term|Credit_History|Property_Area|Loan_Status
0|0|0|0|0|0|0|0|0|0|0.0|0|LP001002|None|No|0|Graduate|No|5849|0.0||360.0|1.0|Urban|Y
1|1|1|1|1|1|1|1|1|1|1.0|1|LP001003|Male|Yes|1|Graduate|No|4583|1508.0|128.0|360.0|1.0|Rural|N
2|2|2|2|2|2|2|2|2|2|2.0|2|LP001005|Male|Yes|0|Graduate|Yes|3000|0.0|66.0|360.0|1.0|Urban|Y
3|3|3|3|3|3|3|3|3|3|3.0|3|LP001006|Male|Yes|0|Not Graduate|No|2583|2358.0|120.0|360.0|1.0|Urban|Y
4|4|4|4|4|4|4|4|4|4|4.0|4|LP001008|Male|No|0|Graduate|No|6000|0.0|141.0|360.0|1.0|Urban|Y
5|5|5|5|5|5|5|Allez au boulot ! :)|5|5|5.0|5|LP001011|Male||2|Graduate|Yes|5417|4196.0|267.0|360.0|1.0|Urban|Y
6|6|6|6|6|6|Allez au boulot ! :)|6|6|6|6.0|6|LP001013|Male|Yes|0|Not Graduate|No|2333|1516.0|95.0|360.0|1.0|Urban|Y
7|7|7|7|7|7|7|7|55555555555|Allez au boulot ! :)|7.0|7|LP001014|ù*ùfsfsf///|Yes|3+|Graduate|No|3036|2504.0|158.0|360.0|0.0|Semiurban|N
8|8|8|8|8|8|8|8|8|8|8.0|8|LP001018|Male|None||Graduate|No|4006|1526.0|168.0|360.0|1.0|Urban|Y
9|9|9|9|9|9|9|9|9|courage!!!|9.0|9|LP001020|Male||1|Graduate|No|12841|10968.0|349.0|360.0|1.0|Semiurban|N
10|10|10|10|10|10|10|10|10|10||10|LP001024|Male|Yes|2|Graduate|No|3200|700.0|70.0|360.0|1.0|Urban|Y
